a52dec 0.7.4-8
acl 2.2.52-2
adwaita-icon-theme 3.18.0-1
alsa-lib 1.1.0-1
alsa-utils 1.1.0-1
archey3 0.5-4
archlinux-keyring 20151220-1
aspell 0.60.6.1-4
at-spi2-atk 2.18.1-1
at-spi2-core 2.18.3-1
atk 2.18.0-1
attr 2.4.47-1
autoconf 2.69-2
automake 1.15-1
avahi 0.6.32rc-3
babl 0.1.14-1
bash 4.3.042-4
binutils 2.25.1-3
bison 3.0.4-1
boost-libs 1.60.0-1
bzip2 1.0.6-5
ca-certificates 20150402-1
ca-certificates-cacert 20140824-2
ca-certificates-mozilla 3.21-1
ca-certificates-utils 20150402-1
cairo 1.14.6-1
colord 1.2.12-1
compositeproto 0.4.2-3
coreutils 8.24-1
cracklib 2.9.4-1
cryptsetup 1.7.0-1
curl 7.46.0-1
damageproto 1.2.1-3
db 5.3.28-3
dbus 1.10.6-1
dbus-glib 0.104-1
dcadec 0.2.0-1
dconf 0.24.0-1
desktop-file-utils 0.22-1
device-mapper 2.02.138-1
dhclient 4.3.3-2
dhcpcd 6.10.0-1
dialog 1:1.2_20150920-1
diffutils 3.3-2
dnssec-anchors 20150403-1
docbook-xml 4.5-6
docbook-xsl 1.79.1-1
dotconf 1.3-4
e2fsprogs 1.42.13-1
elfutils 0.165-1
enchant 1.6.0-6
exo 0.10.7-1
expat 2.1.0-4
faad2 2.7-4
fakeroot 1.20.2-1
ffmpeg 1:2.8.5-2
fftw 3.3.4-1
file 5.25-1
filesystem 2015.09-1
findutils 4.4.2-6
fixesproto 5.0-3
flac 1.3.1-3
flex 2.6.0-1
font-bh-ttf 1.0.3-3
fontconfig 2.11.1-2
fontsproto 2.1.3-1
freetype2 2.6.2-1
fribidi 0.19.7-1
garcon 0.4.0-1
gawk 4.1.3-1
gc 7.4.2-4
gcc 5.3.0-3
gcc-libs 5.3.0-3
gconf 3.2.6-3
gd 2.1.1-3
gdbm 1.11-1
gdk-pixbuf2 2.32.3-1
gegl02 0.2.0-2
gettext 0.19.6-2
giflib 5.1.1-1
gimp 2.8.16-1
git 2.7.0-1
glib-networking 2.46.1-1
glib2 2.46.2-2
glibc 2.22-3
gmp 6.1.0-3
gnupg 2.1.10-3
gnutls 3.4.8-1
google-chrome 47.0.2526.73-1
gpgme 1.6.0-2
gpicview 0.2.4-1
gpm 1.20.7-6
graphite 1:1.3.3-3
grep 2.22-1
groff 1.22.3-5
grub 1:2.02.beta2-6
gsettings-desktop-schemas 3.18.1-1
gsfonts 20150811-1
gsm 1.0.14-1
gtk-doc 1.24-1
gtk-update-icon-cache 3.18.6-2
gtk2 2.24.29-1
gtk3 3.18.6-2
gtksourceview2 2.10.5-3
gtkspell 2.0.16-3
guile 2.0.11-3
gummi 0.6.5-3
gzip 1.6-1
harfbuzz 1.1.3-1
harfbuzz-icu 1.1.3-1
hicolor-icon-theme 0.15-1
hspell 1.3-1
hunspell 1.3.3-3
hwids 20150717-1
iana-etc 20151016-1
icu 56.1-2
ilmbase 2.2.0-2
imlib2 1.4.7-1
inetutils 1.9.4-2
inputproto 2.3.1-1
intltool 0.51.0-1
iproute2 4.1.1-1
iptables 1.4.21-3
iputils 20150815.1c59920-3
iso-codes 3.64-1
itstool 2.0.2-1
iw 4.1-1
jansson 2.7-1
jasper 1.900.1-14
java-environment-common 2-2
java-runtime-common 2-2
jdk8-openjdk 8.u66-1
jfsutils 1.1.15-4
jre8-openjdk 8.u66-1
jre8-openjdk-headless 8.u66-1
js17 17.0.0-3
json-c 0.12-2
json-glib 1.0.4-1
kbd 2.0.3-1
kbproto 1.0.7-1
keyutils 1.5.9-1
kmod 22-1
krb5 1.13.2-1
lame 3.99.5-3
lcms 1.19-5
lcms2 2.7-1
ldns 1.6.17-3
less 481-2
libaio 0.3.110-1
libarchive 3.1.2-8
libass 0.13.1-1
libassuan 2.4.2-1
libasyncns 0.8-5
libatomic_ops 7.4.2-1
libbluray 0.9.2-1
libcap 2.24-2
libcroco 0.6.11-1
